name,league,rank,prev_rank,off,def,spi
bayern munich,german bundesliga,1.000,1.000,3.300,0.500,91.500
real madrid,spanish primera division,2.000,2.000,3.500,0.700,90.900
manchester city,barclays premier league,3.000,3.000,2.900,0.500,90.000
barcelona,spanish primera division,4.000,4.000,3.200,0.600,89.400
liverpool,barclays premier league,5.000,5.000,2.900,0.600,87.800
paris saint-germain,french ligue 1,6.000,6.000,2.800,0.600,85.700
juventus,italy serie a,7.000,7.000,2.400,0.500,84.600
atletico madrid,spanish primera division,8.000,8.000,2.100,0.400,82.500
tottenham hotspur,barclays premier league,9.000,9.000,2.500,0.700,82.500
as roma,italy serie a,10.000,10.000,2.300,0.600,80.800
napoli,italy serie a,11.000,11.000,2.300,0.600,80.800
arsenal,barclays premier league,12.000,12.000,2.800,0.900,80.500
chelsea,barclays premier league,13.000,13.000,2.300,0.700,78.500
internazionale,italy serie a,14.000,14.000,2.200,0.700,78.300
borussia dortmund,german bundesliga,15.000,15.000,2.400,0.800,78.000
lazio,italy serie a,16.000,16.000,2.500,0.900,78.000
fc porto,portuguese liga,17.000,17.000,2.200,0.700,77.800
manchester united,barclays premier league,18.000,18.000,2.100,0.600,77.600
atalanta,italy serie a,19.000,19.000,2.100,0.700,76.900
bayer leverkusen,german bundesliga,20.000,20.000,2.300,0.800,76.900
lyon,french ligue 1,21.000,21.000,2.300,0.800,76.700
real sociedad,spanish primera division,22.000,22.000,2.200,0.800,76.500
valencia,spanish primera division,23.000,23.000,2.000,0.600,76.200
tsg hoffenheim,german bundesliga,24.000,24.000,2.400,0.900,76.100
sevilla fc,spanish primera division,25.000,26.000,2.200,0.800,75.500
cska moscow,russian premier liga,26.000,27.000,2.000,0.700,75.400
schalke 04,german bundesliga,27.000,28.000,2.000,0.700,75.300
benfica,portuguese liga,28.000,29.000,2.000,0.700,74.600
marseille,french ligue 1,29.000,30.000,2.200,0.900,74.200
eibar,spanish primera division,30.000,31.000,1.800,0.600,73.800
shakhtar donetsk,uefa champions league,31.000,32.000,2.200,0.800,73.600
getafe,spanish primera division,32.000,33.000,1.700,0.500,73.100
villarreal,spanish primera division,33.000,34.000,2.100,0.800,72.400
rb leipzig,german bundesliga,34.000,35.000,2.300,1.000,72.200
espanyol,spanish primera division,35.000,36.000,1.800,0.600,72.000
ac milan,italy serie a,36.000,37.000,1.900,0.800,71.900
real betis,spanish primera division,37.000,38.000,2.000,0.800,71.800
besiktas,turkish turkcell super lig,38.000,39.000,2.100,0.900,71.600
fenerbahce,turkish turkcell super lig,39.000,40.000,2.200,1.000,71.400
as monaco,french ligue 1,40.000,41.000,2.100,0.900,71.200
eintracht frankfurt,german bundesliga,41.000,42.000,1.900,0.800,70.200
fc salzburg,austrian t-mobile bundesliga,42.000,25.000,2.100,1.000,70.100
galatasaray,turkish turkcell super lig,43.000,43.000,2.000,0.900,70.000
vfb stuttgart,german bundesliga,44.000,44.000,1.800,0.800,70.000
werder bremen,german bundesliga,45.000,45.000,1.900,0.800,69.700
celta vigo,spanish primera division,46.000,46.000,2.100,1.000,69.500
athletic bilbao,spanish primera division,47.000,47.000,1.900,0.800,69.300
borussia monchengladbach,german bundesliga,48.000,48.000,2.100,1.000,69.200
fiorentina,italy serie a,49.000,49.000,1.900,0.900,68.500
zenit st petersburg,russian premier liga,50.000,50.000,1.700,0.700,68.400
alavs,spanish primera division,51.000,51.000,1.700,0.800,68.200
fc krasnodar,russian premier liga,52.000,52.000,1.800,0.800,68.100
ajax,dutch eredivisie,53.000,53.000,2.300,1.200,68.000
spartak moscow,russian premier liga,54.000,54.000,1.900,0.900,67.800
girona fc,spanish primera division,55.000,55.000,1.900,0.900,67.300
dynamo kiev,uefa europa league,56.000,56.000,1.900,0.900,67.300
crystal palace,barclays premier league,57.000,57.000,1.900,0.900,67.200
sporting cp,portuguese liga,58.000,58.000,1.800,0.900,66.800
braga,portuguese liga,59.000,59.000,1.900,0.900,66.300
basel,swiss raiffeisen super league,60.000,60.000,2.100,1.200,66.100
leganes,spanish primera division,61.000,61.000,1.600,0.800,65.900
torino,italy serie a,62.000,62.000,1.800,0.900,65.500
bordeaux,french ligue 1,63.000,63.000,1.700,0.900,65.500
psv,dutch eredivisie,64.000,64.000,2.400,1.400,65.300
fc augsburg,german bundesliga,65.000,65.000,1.800,0.900,65.100
lokomotiv moscow,russian premier liga,66.000,66.000,1.500,0.700,64.700
levante,spanish primera division,67.000,67.000,1.900,1.000,64.700
hertha berlin,german bundesliga,68.000,68.000,1.800,0.900,64.300
leicester city,barclays premier league,69.000,69.000,1.900,1.000,64.300
mainz,german bundesliga,70.000,70.000,1.700,0.900,63.900
nice,french ligue 1,71.000,71.000,1.700,0.900,63.900
young boys,swiss raiffeisen super league,72.000,72.000,2.100,1.300,63.900
hannover 96,german bundesliga,73.000,73.000,1.900,1.100,63.100
istanbul basaksehir,turkish turkcell super lig,74.000,74.000,1.700,1.000,63.000
feyenoord,dutch eredivisie,75.000,75.000,2.200,1.400,62.800
deportivo la corua,spanish primera division,76.000,76.000,1.800,1.100,62.800
stade rennes,french ligue 1,77.000,77.000,1.500,0.800,62.700
newcastle,barclays premier league,78.000,78.000,1.600,0.900,62.000
st etienne,french ligue 1,79.000,79.000,1.700,0.900,62.000
hamburg sv,german bundesliga,80.000,80.000,1.700,1.000,61.900
az,dutch eredivisie,81.000,81.000,2.100,1.400,61.500
boca juniors,argentina primera division,82.000,82.000,1.700,1.000,61.400
montpellier,french ligue 1,83.000,83.000,1.400,0.800,60.400
olympiacos,uefa champions league,84.000,84.000,1.600,1.000,60.400
southampton,barclays premier league,85.000,85.000,1.600,0.900,60.300
rubin kazan,russian premier liga,86.000,86.000,1.300,0.700,60.200
everton,barclays premier league,87.000,87.000,1.700,1.000,60.000
fc ufa,russian premier liga,88.000,88.000,1.300,0.700,60.000
anderlecht,uefa champions league,89.000,89.000,1.700,1.100,59.800
viktoria plzen,uefa europa league,90.000,90.000,1.800,1.100,59.800
sc freiburg,german bundesliga,91.000,91.000,1.600,1.000,59.500
reims,french ligue 2,92.000,92.000,1.500,0.900,59.500
