rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.3100,0.2000,95.5700
2,2,Bayern Munich,German Bundesliga,3.3300,0.3400,94.1100
3,3,Liverpool,Barclays Premier League,2.8100,0.3400,91.1000
4,4,Barcelona,Spanish Primera Division,2.9300,0.4000,90.9600
5,5,Paris Saint-Germain,French Ligue 1,3.1900,0.6500,89.1500
6,6,Real Madrid,Spanish Primera Division,2.5100,0.3500,88.5000
7,7,Manchester United,Barclays Premier League,2.4400,0.3200,88.4200
8,10,Chelsea,Barclays Premier League,2.5800,0.5200,86.0000
9,8,RB Leipzig,German Bundesliga,2.5100,0.5000,85.7500
10,9,Atletico Madrid,Spanish Primera Division,2.1300,0.3100,85.5400
11,12,Borussia Dortmund,German Bundesliga,2.3800,0.5500,83.2900
12,11,Atalanta,Italy Serie A,2.5300,0.6500,83.0800
13,15,Sevilla FC,Spanish Primera Division,2.0000,0.4100,81.6200
14,13,Juventus,Italy Serie A,2.4000,0.6500,81.5800
15,14,Wolverhampton,Barclays Premier League,1.8900,0.3500,81.5500
16,16,FC Salzburg,Austrian T-Mobile Bundesliga,3.0300,1.0500,81.3600
17,18,Internazionale,Italy Serie A,2.4000,0.6600,81.3500
18,17,Leicester City,Barclays Premier League,2.1300,0.5000,81.1000
19,19,Bayer Leverkusen,German Bundesliga,2.3500,0.6600,80.6500
20,20,AC Milan,Italy Serie A,2.2900,0.6900,79.3600
21,21,Borussia Monchengladbach,German Bundesliga,2.3200,0.7200,78.9300
22,23,Zenit St Petersburg,Russian Premier Liga,2.1800,0.6700,77.9800
23,29,Napoli,Italy Serie A,2.0700,0.6400,77.3000
24,25,Real Sociedad,Spanish Primera Division,1.9600,0.5800,76.9700
25,26,Villarreal,Spanish Primera Division,2.1700,0.7300,76.7300
26,27,Getafe,Spanish Primera Division,1.7000,0.4300,76.4900
27,28,Ajax,Dutch Eredivisie,2.5400,0.9900,76.4600
28,24,Tottenham Hotspur,Barclays Premier League,2.0700,0.6700,76.3700
29,22,Arsenal,Barclays Premier League,2.1200,0.7100,76.3600
30,30,FC Porto,Portuguese Liga,2.0300,0.6700,75.7500
31,31,Granada,Spanish Primera Division,1.9300,0.6100,75.7100
32,36,AS Roma,Italy Serie A,2.2200,0.8200,75.4900
33,34,Southampton,Barclays Premier League,2.0700,0.7200,75.2700
